"word","definition","read"
"brummagem","Cheap and showy","bruhmuhjuhm"
"buoyant","able to float; light-hearted","boiuhnt"
"burgeon","grow forth send out buds","burjuhn"
"burnish","to polish; rub to a shine","burnish"
"cabal","a scheme or plot a group of plotters","kuhbal"
"cadge","to beg; to get by begging","kaj"
"cajole","use flattery or deceit to persuade","kuhjohl"
"calipers","metal supports attached to the legs measuring instrument","kaluhper"
"calisthenics","exercises to develop strong bodies","kaluhstheniks"
"calumny","slander; aspersion","kaluhmnee"
"candid","frank; straight-forward","kandid"
"cant","insincere talk/jargon","kant"
"cantankerous","bad-tempered/quarrelsome","kantangkeruhs"
"canvass","discuss thoroughly sort of touting","kanvuhs"
"castigate","to chastise; correct by punishing","kastigeyt"
"castigation","severe punishment","kastigeyt"
"catalyst","substance that causes speeding up","katlist"
"caustic","biting sarcastic","kawstik"
"cavalcade","a procession","kavuhlkeyd"
"censure","expression of blame or disapproval a rebuke","sensher"
"centurion","leader of a unit of 100 soldiers","sentooreeuhn"
"chagrin","vexation","shuhgrin"
"chary","cautious; wary","chairee"
"chaste","pure","cheyst"
"chastened","corrected punished","cheysuhn"
"chastisement","punishment","chastizmuhnt"
"chauvinist","a blindly devoted patriot","shohvuhnist"
"Chicane","deception","shikeyn"
"chicanery","legal trickery/false argument","shikeynuhree"
"chisel","steel tool for shaping materials","chizuhl"
"chortle","loud chuckle of pleasure or amusement","chawrtl"
"churl","bad-tempered person","churl"
"churlish","(adj) boorish","churlish"
"clamor","shout complain with a lot of noise","klamer"
"clientele","customers","klahyuhntel"
"clinch","come to grips/settle conclusively","klinch"
"cling","to resist separation","kling"
"clot","half-solid lump formed from liquid","klot"
"cloture","closing device (in Parliament) to end a debate by voting","klohcher"
"coagulation","change to a thick and solid state","verbkohagyuhleyt"
"coalescing","coming together and uniting into one substance","kohuhles"
"coax","get somebody to do something by kindness","kohks"
"coda","passage that completes a piece of music","kohduh"
"coddle","treat with care and tenderness","kodl"
"coerce","compel to force to make obedient","kohurs"
"coeval","of the same period; coexisting","koheevuhl"
"cogent","strong; convincing","kohjuhnt"
"cogitate","think deeply mediate","kojiteyt"
"cognizant","being fully aware of","kognuhzuhnt"
"cohort","a group or band of people","kohhawrt"
"colander","bowl-shaped vessel with many holes used to drain off water","kuhluhnder"
"colloquial","involving or using conversation.","kuhlohkweeuhl"
"collusion","secret agreement for a deceitful purpose","kuhloozhuhn"
"combustion","process of burning","kuhmbuhschuhn"
"commemorate","keep the memory of","kuhmemuhreyt"
"commodious","having plenty of space for what is needed","kuhmohdeeuhs"
"commuter","person who travels regularly","kuhmyooter"
"complaisance","tending to comply obliging willingness to please","kuhmpleysuhns"
"complaisant","trying to please; obliging","kuhmpleysuhnt"
"compunction","feeling of regret for one's action","kuhmpuhngkshuhn"
"conceal","hide keep secret","kuhnseel"
"conceit","over-high opinion of too much pride","kuhnseet"
"conciliatory","reconciling; soothing; comforting; mollifying","kuhnsileeuhtawree"
"concoct","invent, prepare by mixing together","konkokt"
"concord","agreement or harmony","konkawrd"
"concur","agree in opinion happen together","kuhnkur"
"condense","increase in density strength make laconic","kuhndens"
"condone","forgive","kuhndohn"
"Conduce","To bring about","kuhndoos"
"congeal","make or become stiff and solid","kuhnjeel"
"conjoin","to join together","kuhnjoin"
"connoisseur","a person with good judgement (e.g.. in art)","konuhsur"
"connotation","suggestion in addition to","konuhteyshuhn"
"connote","Suggest or imply in addition to the precise, literal meaning","kuhnoht"
"consequential","pompous self important","konsikwenshuhl"
"console","give comfort or sympathy to","kuhnsohl"
"conspicuous","easily seen remarkable","kuhnspikyoouhs"
"consternation","surprise and fear; dismay","konsterneyshuhn"
"constrain","compel","kuhnstreyn"
"constrict","make tight or smaller","kuhnstrikt"
"consume","get to the end of","kuhnsoom"
"consummate","perfect/make; perfect/complete","verbkonsuhmeyt"
"contemn","to scorn or despise","kuhntem"
"contentious","argumentative pugnacious combative quarrelsome","kuhntenshuhs"
"contiguous","touching neighboring near","kuhntigyoouhs"
"contrite","filled with deep sorrow for wrongdoing","kuhntrahyt"
"contumacious","insubordinate rebellious","kontoomeyshuhs"
"conundrum","a riddle dilemma enigma","kuhnuhndruhm"
"conviction","convincing firm belief","kuhnvikshuhn"
"convoke","call together summon","kuhnvohk"
"convoluted","complicated;coiled; twisted","konvuhlootid"
"cordial","warm and sincere","kawrjuhlor"
"cordon","line (of police acting as a guard)","kawrdn"
"cornucopia","abundant supply","kawrnuhkohpeeuh"
"corporeal","physical of or for the body","kawrpawreeuhl"
"correlate","have a mutual relation","verb"
"corroboration","additional strengthening evidence","kuhrobuhreyshuhn"
"coruscate","sparkle","kawruhskeyt"
"countenance","to favor or approve of","kountnuhns"
"counterfeit","forgery","kounterfit"
"countervail","counterbalance","kounterveyl"
"covert","disguised","adjectivekohvert"
"covetous","eagerly desirous","kuhvituhs"
"cower","crouch shrink back","kouer"
"coy","shy/modest (especially of a girl)","koi"
"crass","without refinement or sensitivity; gross.","kras"
"cravat","piece of linen worn as a necktie","kruhvat"
"craven","cowardly","kreyvuhn"
"crease","line made by crushing white line on the ground in cricket","krees"
"credulity","too great a readiness to believe things","kruhdoolitee"
"credulous","ready to believe things","krejuhluhs"
"crush","press lose shape subdue overwhelm","kruhsh"
"cryptic","secret with a hidden meaning","kriptik"
"cumbersome","burdensome; heavy and awkward to carry","kuhmbersuhm"
"curmudgeon","bad-tempered person","kermuhjuhn"
"curriculum","course of study","kuhrikyuhluhm"
"cursory","quick; hurried","kursuhree"
"curtail","make shorter then was planned","kerteyl"
"dainty","pretty/delicate(food)/difficult to please","deyntee"
"dangle","hand or swing loosely","dangguhl"
"daunt","intimidate make fearful","dawnt"
"dawdler","person who is slow waste of time","dawdl"
"dearth","shortage","durth"
"debacle","a breakup overthrow sudden disaster","deybahkuhl"
"decorum","propriety properness","dihkawruhm"
"decree","order given by authority","dihkree"
"decry","disapprove of","dihkrahy"
"defalcate","(v) to embezzle or misappropriate","dihfalkeyt"
"defer","postpone","dihfur"
"deferential","showing respect","defuhrenshuhl"
"defiance","open disobedience or resistance","dihfahyuhns"
"delineate","to portray depict sketch out","dihlineeeyt"
"deluge","great flood heavy rush of water","delyooj"
"demagogue","person appealing not to reasons","demuhgog"
"demur","to hesitate; raise objections","dihmur"
"denigrate","blacken; belittle; sully; defame","denigreyt"
"denouement","an outcome or solution; the unraveling of a plot","deynoomahn"
"deplete","use until none remains","dihpleet"
"deposition","dethronement; depositing","depuhzishuhn"
"deprave","make morally bad;corrupt","dihpreyv"
"deprecate","protest against; express disapproval of","deprikeyt"
"depredation","plundering","deprideyshuhn"
"dereliction","deserting and leaving to fall into ruins","deruhlikshuhn"
"derision","ridicule mockery deriding","dihrizhuhn"
"derivative","unoriginal; obtained from another source","dihrivuhtiv"
"derogatory","insulting; tending to damage","dihroguhtawree"
"descry","catch sight of see something in the distance","dihskrahy"
"desiccant","substance used to absorb moisture","desikuhnt"
"desuetude","cessation of use disuse","deswitood"
"desultory","aimless;haphazard; digressing at random","desuhltawree"
"deter","discourage hinder","dihtur"
"detraction","slandering verbal attack aspersion","dihtrakshuhn"
"detumescence","diminishing or lessening of swelling","deetoomesuhns"
"deviance","being different in moral standards (from normal)","deeveeuhns"
"dexterity","skill (esp. in handling)","deksteritee"
"diabolical","having the qualities of a devil","dahyuhbolikordahyuhbolikuhl"
"diaphanous","transparent; gauzy","dahyafuhnuhs"
"diatribe","bitter and violent attack in words","dahyuhtrahyb"
"didactic","intended to instruct","dahydaktik"
"diffidence","shyness","difiduhns"
"dilate","speak comprehensively become wider large","dahyleyt"
"dilettante","a lover of an art or science","dilitahnt"
"dirge","a song of grief or lamentation","durj"
"disallow","refuse to allow or accept as a correct","disuhlou"
"discern","see with an effort but clearly","dihsurn"
"discomfit","confuse embarrass","diskuhmfit"
"disconcert","upset the self-possession of","diskuhnsurt"
"discountenance","refuse to approve of","diskountnuhns"
"discourse","speech lecture","noundiskawrs"
"discredit","refuse to believe","diskredit"
"discreet","careful/prudent","dihskreet"
"discrete","distinct","dihskreet"
"disdain","look on with contempt","disdeyn"
"disencumber","free from encumbrance","disenkuhmber"
"disheveled","untidy","dihshevuhld"
"disingenuous","sophisticated artful trying to deceive cunning","disinjenyoouhs"
"disinter","dig up from the earth","disintur"
"dislodge","move force from the place occupied","disloj"
"dismal","sad; gloomy; miserable","dizmuhl"
"disparate","essentially different","disperit"
"disproof","proof to the contrary","disproof"
"disrobe","undress","disrohb"
"dissemble","speak or behave so as to hide something (in mind)","dihsembuhl"
"disseminate","distribute (esp. ideas)","dihsemuhneyt"
"dissent","have a different opinion refuse to assent","dihsent"
"dissolution","disintegration looseness in morals","disuhlooshuhn"
"distrait","distracted","dihstrey"
"distraught","distracted violently upset in mind","dihstrawt"
"divergence","getting farther apart from a point","dihvurjuhns"
"divestiture","taking off getting rid of giving up","dihvesticher"
"divulge","make known something secret","dihvuhlj"
"doggerel","trivial poorly constructed verse","dawgeruhl"
"dogmatic","positive certain arbitrary without room for discussion","dawgmatik"
"doleful","dismal; mourful","dohlfuhl"
"dolt","stupid fellow","dohlt"
"dormant","in a state of inactivity but awaiting development","dawrmuhnt"
"dote","show much fondness center one's attention","doht"
"drawl","slow way of speaking","drawl"
"droll","jesting","drohl"
"drone","male bee person who isn't self-employed","drohn"
"drowsiness","feeling sleepy half asleep","drouzee"
"dubious","feeling doubt","doobeeuhs"
"dud","no use person something that fails","duhd"
"dulcet","melodious; harmonious","duhlsit"
"dullard","a stupid, insensitive person","duhlerd"
"dupe","cheat make a fool of","doop"
"duplicity","deliberate deception","dooplisitee"
"duress","threats to compel somebody","doores"
"dwarf","person much smaller the usual size","dwawrf"
"dynamo","a generator something that produces electric current","dahynuhmoh"
"earthenware","dishes made of baked clay","urthuhnwair"
"ebullience","exuberance outburst of feeling","ihbuhlyuhns"
"ebullient","overflowing with enthusiasm showing excitement","ihbuhlyuhnt"
"eclat","Great brilliance, as of performance or achievement","eyklah"
"ecumenical","representing the whole Christian world","ekyoomenikuhlor"
"edacious","voracious; devouring","ihdeyshuhs"
"eddy","circular or spiral movement (e.g.. of wind)","edee"
"edible","fit to be eaten/not poisonous","eduhbuhl"
"edify","instruct; correct morally","eduhfahy"
"efface","rub or wipe out, obliterate","ihfeys"
"effete","infertile; worn out; weak","ihfeet"
"efficacy","production of a desired result","efikuhsee"
"effluvia","outflow in a stream of particles a noxious odor or vapor","ihflooveeuhm"
"effrontery","boldness impudence arrogance","ihfruhntuhree"
"egress","way out exit","nouneegres"
"elaborate","worked out with much care in great detail","adjectiveihlaberit"
"elegy","a lament a melancholy composition","elijee"
"elicit","draw out","ihlisit"
"eloquence","fluent speaking skillful use of language","eluhkwuhns"
"emaciate","make thin and weak","ihmeysheeeyt"
"embellish","make beautiful","embelish"
"embezzle","use in a wrong way for one's own benefit","embezuhl"
"emote","stir up excite","ihmoht"
"empirical","relying on experiment","empirikuhl"
"encapsulate","enclose in capsule","enkapsuhleyt"
"encomium","warm or glowing praise eulogy panegyric","enkohmeeuhm"
"encumbrance","burden things that get on the way of","enkuhmbruhns"
"endearing","making dear or liked","endeering"
"endeavor","to make an effort, to try very hard","endever"
"endemic","epidemic","endemik"
"endorse","write one's name on the back of","endawrs"
"enduring","lasting","endooring"
"enervate","weaken deprive of strength attenuate","verbenerveyt"
"engender","cause produce give rise to","enjender"
"engrave","impress deeply","engreyv"
"engrossing","taken up all the time or attention writing in large or formal","engrohsing"
"engulf","swallow up","enguhlf"
"enigma","something that is puzzling","uhnigmuh"
"enmity","hatred being an enemy","enmitee"
"ensconce","To settle (oneself) securely or comfortably","enskons"
"ensign","flag/badge","ensahyn"
"entangle","put into difficulties","entangguhl"
"enthral","take the whole attention, enslave","enthrawl"
"entice","attract, lure","entahys"
"entreat","ask earnestly","entreet"
"enunciate","pronounce (words)/express a theory","ihnuhnseeeyt"
"enzyme","catalyst","enzahym"
"epicurean","devoted to pleasure (sensuous enjoyment)","epikyooreeuhn"
"epiphany","A Christian feast celebrating the manifestation of the divine nature of Jesus to the Gentiles as represented by the Magi.","ihpifuhnee"
"epistle","letter","ihpisuhl"
"epithet","adjective","epuhthet"
"epitome","brief summary representative example a typical model","ihpituhmee"
"equable","steady; regular","ekwuhbuhl"
"equanimity","calmness of temperament","eekwuhnimitee"
"equilibrium","state of being balanced","eekwuhlibreeuhm"
"equipoise","equal distribution of weight equilibrium","eekwuhpoiz"
"equivocal","having a double or doubtful meaning; suspicious","ihkwivuhkuhl"
"equivocate","try to deceive by equivocal language","ihkwivuhkeyt"
"eradicate","get rid of pull up by the roots","ihradikeyt"
"erratic","irregular in behaviour or opinion","ihratik"
"erudite","learned; scholarly","eryoodahyt"
"eschew","avoid","eschoo"
"esoteric","abstruse intended only for a small circle of","esuhterik"
"espouse","To take in marriage","ihspouz"
"eulogy","formal praise panegyric","yooluhjee"
"eupeptic","good digestion","yoopepshuh"
"euphoria","elation state of pleasant excitement","yoofawreeuh"
"euthanasia","easy and painless death","yoothuhneyzhuh"
"evasive","tending to evade","ihveysiv"
"evince","to show clearly to indicate","ihvins"
"evoke","call up bring out","ihvohk"
"excoriation","severe criticism","ikskawreeeyshuhn"
"exculpate","to clear from a charge of guilt","ekskuhlpeyt"
"exhaustive","complete; thorough","igzawstiv"
"exigency","emergency an urgent situation","eksijuhnsee"
"Exodus","a going out; a departure","eksuhduhs"
"exoneration","set someone clear (e.g.. from blame)","igzonuhreyt"
"exorbitant","much too high or great","igzawrbituhnt"
"expatiate","to roam wander freely","ikspeysheeeyt"
"expedient","likely to be useful for a purpose","ikspeedeeuhnt"
"expiation","ending; expiring","ekspeeeyshuhn"
"exploit","brilliant achievement develop use selfishly","eksploit"
"expostulate","argue earnestly to dissuade correct or protest","iksposchuhleyt"
"expurgate","to remove obscenity purify censor","ekspergeyt"
"exscind","to cut out cut away","eksind"
"extant","still in existence","ekstuhnt"
"extempore","without previous thought or preparation","ikstempuhree"
"extenuate","reduce the strength of lessen seriousness partially excuse","ikstenyooeyt"
"extinct","no longer active","ikstingkt"
"extinguish","end the existence of/wipe or put out","ikstinggwish"
"extirpate","to destroy exterminate cut out exscind","eksterpeyt"
"extol","to praise highly","ikstohl"
"extort","obtain by threats violence","ikstawrt"
"extralegal","outside the law","ekstruhleeguhl"
"extricable","that can be freed","ekstrikuhbuhl"
"extrovert","cheerful person","ekstruhvurt"
"exuberance","state of growing vigorously being full of life","igzooberuhns"
"facetious","humorous; funny; jocular","fuhseeshuhs"
"facile","easily done","fasilor"
"fagged","too tired","fag"
"fallacious","based on error","fuhleyshuhs"
"falter","waver/move in an uncertain manner","fawlter"
"fatuous","without sense foolish; self-satisfaction","fachoouhs"
"fawn","To seek favor or attention by flattery and obsequious","fawn"
"feckless","lacking purpose or vitality ineffective careless","feklis"
"fecund","fertile","feekuhnd"
"feint","pretend","feynt"
"felicitous","suitably expressed; well chosen; apropos","filisituhs"
"felon","person guilty of murder","feluhn"
"feral","Existing in a wild or untamed state","feeruhl"
"ferment","substance become excited","nounfurment"
"ferocity","savage cruelty","fuhrositee"
"ferret","discover by searching search","ferit"
"fervid","showing earnest feeling","furvid"
"fervor","warmth of feelings earnestness","furver"
"festoon","a decorative chain or strip hanging between two points","festoon"
"fetid","stinking","fetid"
"fetter","to shackle put in chains","feter"
"feud","bitter quarrel over a long period of time","fyood"
"fidelity","loyalty accuracy","fidelitee"
"fidget","move restlessly make nervous","fijit"
"figurehead","carved image on the prow of a ship","figyerhed"
"finagle","to practice deception or fraud; scheme.","fineyguhl"
"finesse","delicate way of dealing with a situation","finess"
"finical","too fussy about food clothing etc.","finikuhl"
"finicky","finical","finikee"
"fission","splitting or division (esp. of cells)","fishuhn"
"fixate","stare at","fikseyt"
"flak","criticism; anti-aircraft guns","flak"
"flamboyant","brightly colored; florid","flamboiuhnt"
"flaunting","show off complacently","flawnt"
"flax","pale yellow (hair) a plant","flaks"
"fledged","able to fly trained experienced","flejd"
"fledgling","an inexperienced person.","flejling"
"fleet","number of ships; quick-moving","fleet"
"flimsy","lacking solidarity, strength","flimzee"
"flinch","draw; move back; wince","flinch"
"floe","a sheet of floating ice","floh"
"flop","fail/move/fall clumsily","flop"
"florid","very much ornamented naturally red (e.g.. of face)","flawrid"
"flout","reject mock to go against (as in going against tradition)","flout"
"fluke","lucky; stroke","flook"
"fluster","make nervous or confused","fluhster"
"foible","defect of character (a person is wrongly proud)","foibuhl"
"foil","prevent from carrying out","foil"
"foment","put something warm (to lessen the pain)","fohment"
"foolproof","incapable of failure or error","foolproof"
"foppish","like a man who pays too much attention to his clothes","fopish"
"forage","food for horses and cattle","fawrij"
"foray","to venture","fawrey"
"forbear","refrain from; be patient; ancestor","fawrbair"
"forbearance","patience; willingness to wait","fawrbairuhns"
"ford","shallow place in a river (to cross)","fawrd"
"forestall","prevent by taking action in advance; preempt","fohrstawl"
"forfeit","suffer the loss of something","fawrfit"
"forge","workshop for the shaping of metal to shape metal lead","fawrj"
"forgery","counterfeit","fawrjuhree"
"forswear","renounce; disallow; repudiate","fawrswair"
"foster","nurture; care for","fawster"
"fracas","noisy; quarrel","freykuhs"
"fragile","easily injured broken or destroyed","frajuhl"
"fragrant","sweet-smelling","freygruhnt"
"frantic","wildly excited with joy; pain; anxiety","frantik"
"frenetic","frantic; frenzied","fruhnetik"
"fret","worry; irritation; wear away","fret"
"fringe","edge ornamental border part of hair over the forehead","frinj"
"froward","intractable not willing to yield or comply stubborn","frohwerd"
"frugal","careful; economical","frooguhl"
"fulmination","bitter protest","fuhlmuhneyshuhn"
"fulsome","disgusting offensive due to excessiveness","foolsuhm"
"Furtive","taken,done","furtiv"
"fustian","bombastic","fuhschuhn"
"gainsay","to deny; to oppose","geynsey"
"gait","a manner of walking, stepping, or running","geyt"
"gallant","brave,behaves well with women","adjectivegaluhntfor1"
"garble","make unfair selection from facts","gahrbuhl"
"garner","to gather and save to store up","gahrner"
"garrulous","too talkative","garuhluhs"
"gauche","hence; awkward","gohsh"
"gaucherie","socially awkward; tactless behavior","gohshuhree"
"germane","relevant; pertinent to","jermeyn"
"gerontocracy","government ruled by old people","jeruhntokruhsee"
"gist","the point general sense","jist"
"glean","gather facts in small quantities","gleen"
"glib","ready and smooth but not sincere","glib"
"glimmer","weak/unsteady light","glimer"
"gloat","over look at with selfish delight","gloht"
"glut","supply to much fill to excess","gluht"
"gnaw","waste away; bite steadily","naw"
"goad","something urging a person to action","gohd"
"gorge","eat greedily/narrow opening with a stream","gawrj"
"gossamer","soft light; delicate material","gosuhmer"
"gouge","tool for cutting grooves in wood","gouj"
"gourmand","a person who is devoted to eating and drinking to excess","goormahnd"
"grandiloquent","using pompous words","grandiluhkwuhnt"
"grave","serious requiring; consideration","greyv"
"graze","touch or scrape lightly in passing","greyz"
"gregarious","living in societies liking the company","grigaireeuhs"
"grievous","causing grief or pain; serious dire grave","greevuhs"
"grouse","Complain or grumble (verb)","grous"
"grovel","crawl; humble oneself","gruhvuhl"
"grumble","to complain","gruhmbuhl"
"guile","deceit; cunning","gahyl"
"guileless","honest; straightforward","gahyllis"
"gullible","easily gulled","guhluhbuhl"
"gush","burst out suddenly/talk ardently","guhsh"
"gust","outburst of feeling; sudden rain wind fire etc.","guhst"
"hack","cut roughly; hired horse","hak"
"halcyon","calm and peaceful","halseeuhn"
"hallow","to make holy; consecrate","haloh"
"hapless","unlucky","haplis"
"harangue","a long passionate speech","huhrang"
"harbinger","One that indicates or foreshadows what is to come; a forerunner.","hahrbinjer"
"harrow","to distress; create stress or torment","haroh"
"haughty","arrogant; conceited","hawtee"
"hauteur","haughtiness","hohtur"
"heed","attention/give notice to","heed"
"hegemony","predominance","hijemuhnee"
"heinous","odious (of crime)","heynuhs"
"heresy","belief contrary to what is generally accepted","heruhsee"
"heretic","recreant, protestant,skeptic","nounheritik"
"hermetic","sealed by fusion","hurmetik"
"heterogeneous","made up of different kinds","heteruhjeeneeuhs"
"hew","make by hard work cut (by striking)","hyooor"
"highbrow","(person) with superior tastes","hahybrou"
"hirsute","hairy; shaggy","hursoot"
"hoax","mischievous trick played to deceive","hohks"
"hollow","not soled with hole","holoh"
"holster","leather case for a pistol","hohlster"
"homiletics","act of preaching","homuhletiks"
"hone","stone used for sharpening tools","hohn"
"hoodwink","trick; mislead","hoodwingk"
"hospitable","liking to give hospitality","hospituhbuhl"
"hubris","arrogant; pride","hyoobris"
"hush","make or become silent","huhsh"
"husk","worthless; outside part of anything","huhsk"
"hypocrisy","falsely making oneself appear to be good","hipokruhsee"
"iconoclast","person who attacks popular beliefs","ahykonuhklast"
"idiosyncrasy","personal mannerism","ideeuhsingkruhsee"
"idolatry","excessive admiration of","ahydoluhtree"
"idyll","a carefree episode or experience","ahydl"
"ignoble","not noble; inferior","ignohbuhl"
"ignominious","shameful; dishonorable; undignified; disgraceful","ignuhmineeuhs"
"illicit","unlawful; forbidden","ihlisit"
"imbibe","to consume (liquids) by drinking; drink","imbahyb"
"imbroglio","complicated and embarrassing situation","imbrohlyoh"
"immaculate","pure; faultless","ihmakyuhlit"
"imminent","likely to come or happen soon","imuhnuhnt"
"immutable","that cannot be changed","ihmyootuhbuhl"
"impair","worsen; diminish in value","impair"
"impasse","a position or situation from which there is no escape; deadlock","impas"
"impassive","unmoved; feeling no sign of passion","impasiv"
"impecunious","having little or no money","impikyooneeuhs"
"impede","hinder; get in the way of","impeed"
"impediment","something that hinders (e.g. stammer)","impeduhmuhnt"
"impending","imminent; about to happen; expected","impending"
"imperative","urgent; essential","imperuhtiv"
"imperious","commanding; haughty; arrogant","impeereeuhs"
